% COMP47460 2021 - Assignment 1
% Dataset tesco for student ID number 21200475
@relation tesco-21200475

@attribute area_id {E05000026,E05000027,E05000028,E05000029,E05000030,E05000031,E05000032,E05000033,E05000034,E05000035,E05000036,E05000037,E05000038,E05000039,E05000040,E05000041,E05000042,E05000043,E05000044,E05000045,E05000046,E05000047,E05000048,E05000049,E05000050,E05000051,E05000052,E05000053,E05000054,E05000055,E05000056,E05000057,E05000058,E05000059,E05000060,E05000061,E05000062,E05000063,E05000085,E05000086,E05000087,E05000088,E05000089,E05000090,E05000091,E05000092,E05000093,E05000094,E05000095,E05000096,E05000097,E05000098,E05000099,E05000100,E05000101,E05000102,E05000103,E05000104,E05000105,E05000106,E05000107,E05000108,E05000109,E05000110,E05000111,E05000112,E05000113,E05000114,E05000115,E05000116,E05000117,E05000118,E05000119,E05000120,E05000121,E05000122,E05000123,E05000124,E05000125,E05000126,E05000127,E05000128,E05000129,E05000130,E05000131,E05000132,E05000133,E05000134,E05000135,E05000136,E05000137,E05000138,E05000139,E05000140,E05000141,E05000142,E05000143,E05000144,E05000145,E05000170,E05000171,E05000172,E05000173,E05000174,E05000175,E05000176,E05000177,E05000178,E05000179,E05000180,E05000181,E05000182,E05000183,E05000184,E05000185,E05000186,E05000187,E05000188,E05000189,E05000190,E05000191,E05000192,E05000193,E05000194,E05000195,E05000196,E05000197,E05000198,E05000199,E05000200,E05000201,E05000202,E05000203,E05000204,E05000205,E05000206,E05000207,E05000208,E05000209,E05000210,E05000211,E05000212,E05000213,E05000214,E05000215,E05000216,E05000217,E05000218,E05000219,E05000220,E05000221,E05000222,E05000223,E05000224,E05000225,E05000226,E05000227,E05000228,E05000229,E05000230,E05000250,E05000251,E05000252,E05000253,E05000254,E05000255,E05000256,E05000257,E05000258,E05000259,E05000260,E05000261,E05000262,E05000263,E05000264,E05000265,E05000266,E05000267,E05000268,E05000269,E05000270,E05000271,E05000272,E05000273,E05000274,E05000275,E05000276,E05000277,E05000278,E05000279,E05000280,E05000281,E05000282,E05000283,E05000284,E05000285,E05000286,E05000287,E05000288,E05000289,E05000290,E05000291,E05000292,E05000293,E05000294,E05000295,E05000296,E05000297,E05000298,E05000299,E05000300,E05000301,E05000302,E05000303,E05000304,E05000305,E05000306,E05000307,E05000308,E05000309,E05000310,E05000311,E05000312,E05000313,E05000314,E05000315,E05000316,E05000317,E05000318,E05000319,E05000320,E05000321,E05000322,E05000323,E05000324,E05000325,E05000326,E05000327,E05000328,E05000329,E05000330,E05000331,E05000332,E05000333,E05000334,E05000335,E05000336,E05000337,E05000338,E05000339,E05000340,E05000341,E05000342,E05000343,E05000344,E05000345,E05000346,E05000347,E05000348,E05000349,E05000350,E05000351,E05000352,E05000353,E05000354,E05000355,E05000356,E05000357,E05000358,E05000359,E05000360,E05000361,E05000362,E05000363,E05000364,E05000365,E05000366,E05000367,E05000368,E05000369,E05000370,E05000371,E05000372,E05000373,E05000374,E05000375,E05000376,E05000377,E05000378,E05000379,E05000380,E05000381,E05000400,E05000401,E05000402,E05000403,E05000404,E05000405,E05000406,E05000407,E05000408,E05000409,E05000410,E05000411,E05000412,E05000413,E05000414,E05000415,E05000416,E05000417,E05000418,E05000419,E05000420,E05000421,E05000422,E05000423,E05000424,E05000425,E05000426,E05000427,E05000428,E05000429,E05000430,E05000431,E05000432,E05000433,E05000434,E05000435,E05000436,E05000437,E05000438,E05000439,E05000440,E05000441,E05000442,E05000443,E05000444,E05000445,E05000446,E05000447,E05000448,E05000449,E05000450,E05000451,E05000452,E05000453,E05000454,E05000455,E05000456,E05000457,E05000458,E05000459,E05000460,E05000461,E05000462,E05000463,E05000464,E05000465,E05000466,E05000467,E05000468,E05000469,E05000470,E05000471,E05000472,E05000473,E05000474,E05000475,E05000476,E05000477,E05000478,E05000479,E05000480,E05000481,E05000482,E05000483,E05000484,E05000485,E05000486,E05000487,E05000488,E05000489,E05000490,E05000491,E05000492,E05000493,E05000494,E05000516,E05000517,E05000518,E05000519,E05000520,E05000521,E05000522,E05000523,E05000524,E05000525,E05000526,E05000527,E05000528,E05000529,E05000530,E05000531,E05000532,E05000533,E05000555,E05000556,E05000557,E05000558,E05000559,E05000560,E05000561,E05000562,E05000563,E05000564,E05000565,E05000566,E05000567,E05000568,E05000569,E05000570,E05000571,E05000572,E05000590,E05000591,E05000592,E05000593,E05000594,E05000595,E05000596,E05000597,E05000598,E05000599,E05000600,E05000601,E05000602,E05000603,E05000604,E05000605,E05000606,E05000607,E05000608,E05000609,E05000610,E05000611,E05000612,E05000613,E05000614,E05000615,E05000616,E05000617,E05000618,E05000619,E05000620,E05000621,E05000622,E05000623,E05000624,E05000625,E05000626,E05000627,E05000628,E05000629,E05000630,E05000631,E05000632,E05000633,E05000634,E05000635,E05000636,E05000637,E05000638,E05000639,E05000640,E05000641,E05000642,E05000643,E05000644,E05000645,E05000646,E05000647,E05000648,E05000649,E05009288,E05009302,E05009317,E05009318,E05009319,E05009320,E05009321,E05009322,E05009323,E05009324,E05009325,E05009326,E05009327,E05009328,E05009329,E05009330,E05009331,E05009332,E05009333,E05009334,E05009335,E05009336,E05009367,E05009368,E05009369,E05009370,E05009371,E05009372,E05009373,E05009374,E05009375,E05009376,E05009377,E05009378,E05009379,E05009380,E05009381,E05009382,E05009383,E05009384,E05009385,E05009386,E05009387,E05009388,E05009389,E05009390,E05009391,E05009392,E05009393,E05009394,E05009395,E05009396,E05009397,E05009398,E05009399,E05009400,E05009401,E05009402,E05009403,E05009404,E05009405}
@attribute weight numeric
@attribute weight_std numeric
@attribute volume numeric
@attribute volume_std numeric
@attribute fat numeric
@attribute fat_std numeric
@attribute saturate numeric
@attribute saturate_std numeric
@attribute sugar numeric
@attribute sugar_std numeric
@attribute protein numeric
@attribute protein_std numeric
@attribute carb numeric
@attribute carb_std numeric
@attribute fibre numeric
@attribute fibre_std numeric
@attribute alcohol numeric
@attribute alcohol_std numeric
@attribute energy_fat numeric
@attribute energy_fat_std numeric
@attribute energy_saturate numeric
@attribute energy_saturate_std numeric
@attribute energy_sugar numeric
@attribute energy_sugar_std numeric
@attribute energy_protein numeric
@attribute energy_protein_std numeric
@attribute energy_carb numeric
@attribute energy_carb_std numeric
@attribute energy_fibre numeric
@attribute energy_fibre_std numeric
@attribute energy_alcohol numeric
@attribute energy_alcohol_std numeric
@attribute energy_alcohol_ci95 numeric
@attribute energy_tot numeric
@attribute energy_tot_std numeric
@attribute f_energy_fat numeric
@attribute f_energy_saturate numeric
@attribute f_energy_sugar numeric
@attribute f_energy_protein numeric
@attribute f_energy_carb numeric
@attribute f_energy_fibre numeric
@attribute f_energy_alcohol numeric
@attribute energy_density numeric
@attribute h_nutrients_weight numeric
@attribute h_nutrients_weight_norm numeric
@attribute h_nutrients_calories numeric
@attribute h_nutrients_calories_norm numeric
@attribute f_beer numeric
@attribute f_dairy numeric
@attribute f_eggs numeric
@attribute f_fats_oils numeric
@attribute f_fish numeric
@attribute f_fruit_veg numeric
@attribute f_grains numeric
@attribute f_meat_red numeric
@attribute f_poultry numeric
@attribute f_readymade numeric
@attribute f_sauces numeric
@attribute f_soft_drinks numeric
@attribute f_spirits numeric
@attribute f_sweets numeric
@attribute f_tea_coffee numeric
@attribute f_water numeric
@attribute f_wine numeric
@attribute f_dairy_weight numeric
@attribute f_eggs_weight numeric
@attribute f_fats_oils_weight numeric
@attribute f_fish_weight numeric
@attribute f_fruit_veg_weight numeric
@attribute f_grains_weight numeric
@attribute f_meat_red_weight numeric
@attribute f_poultry_weight numeric
@attribute f_readymade_weight numeric
@attribute f_sauces_weight numeric
@attribute f_sweets_weight numeric
@attribute 'Diabetes category' {mid,high,low}

@data
E05000268,423.767322,502.241466,110.08477,107.395191,9.292964,15.319505,3.595,6.831632,9.697648,15.848891,5.428844,6.631977,18.191206,23.654728,1.582489,2.439936,0.19377,1.673324,83.63668,137.875541,32.355003,61.484686,38.790592,63.395563,21.715376,26.527907,72.764823,94.618912,2.966782,4.765147,1.356388,11.713269,0.020862,182.440049,178.090803,0.458434,0.177346,0.212621,0.119027,0.398842,0.016262,0.007435,0.430519,1.661177,0.71543,1.559442,0.671615,0.008595,0.102876,0.014369,0.036904,0.027189,0.265401,0.148969,0.061499,0.023283,0.045374,0.016715,0.035024,0.003835,0.154314,0.007515,0.038012,0.010127,0.063261,0.033935,0.033827,0.023324,0.336057,0.225816,0.065441,0.05992,0.042749,0.015887,0.099784,mid
E05000297,408.613931,441.544765,120.408021,100.093538,8.48174,14.163114,3.450304,6.748294,9.449956,15.535034,5.173072,6.415373,17.437465,22.588569,1.623085,2.385307,0.247624,1.703112,76.335662,127.468027,31.05274,60.73465,37.799822,62.140135,20.692286,25.661491,69.749861,90.354274,3.060927,4.64048,1.733367,11.921781,0.016967,171.572103,170.524953,0.444919,0.180989,0.220315,0.120604,0.406534,0.01784,0.010103,0.419888,1.676095,0.721855,1.586386,0.683219,0.011484,0.116387,0.013232,0.032908,0.020759,0.309071,0.134054,0.048377,0.021194,0.05405,0.017444,0.022,0.003144,0.146294,0.005281,0.026058,0.018262,0.0658,0.028212,0.030991,0.019465,0.385096,0.193392,0.052818,0.049656,0.059162,0.016933,0.098473,mid
E05000366,360.526135,377.857321,105.653426,84.42618,8.561271,13.839666,3.316325,6.254558,9.425509,15.477687,5.305915,6.556001,17.233031,22.402678,1.658991,2.432627,0.240406,1.615821,77.051438,124.556995,29.846922,56.291024,37.702034,61.910747,21.22366,26.224005,68.932122,89.610713,3.139204,4.809393,1.68284,11.310747,0.035944,172.029264,170.737684,0.447897,0.173499,0.219161,0.123372,0.4007,0.018248,0.009782,0.477162,1.687038,0.726568,1.590847,0.685141,0.016894,0.106067,0.012476,0.024744,0.020814,0.306338,0.147475,0.044516,0.020605,0.060607,0.01332,0.02742,0.003179,0.143643,0.005836,0.029615,0.016451,0.066161,0.029297,0.024216,0.020066,0.368015,0.215004,0.052251,0.051889,0.064944,0.015471,0.092685,low
E05000379,359.07554,328.059917,97.510333,75.733349,8.602742,14.095771,3.395751,6.633377,8.754227,15.105933,5.47769,6.809484,16.170807,21.94135,1.588336,2.341312,0.286177,1.677282,77.424679,126.861939,30.561759,59.70039,35.016908,60.423734,21.910761,27.237934,64.683226,87.765398,3.029629,4.641826,2.00324,11.740973,0.024168,169.051535,168.997689,0.457995,0.180784,0.207137,0.12961,0.382624,0.017921,0.01185,0.470797,1.71782,0.739825,1.608161,0.692597,0.020263,0.103389,0.013908,0.028992,0.023855,0.318388,0.12944,0.053891,0.023878,0.056363,0.016681,0.023298,0.003486,0.133028,0.004865,0.02449,0.021788,0.068262,0.030226,0.027963,0.023123,0.380812,0.175935,0.065433,0.057779,0.065738,0.018307,0.086421,low
E05000287,452.007277,732.46285,141.590128,113.119099,9.195961,15.431928,3.764214,7.364656,10.5517,16.629231,4.955928,5.896232,19.474232,23.92138,1.598275,2.316582,0.176689,1.54708,82.763649,138.887352,33.877929,66.281907,42.206801,66.516926,19.823712,23.584926,77.896928,95.685519,2.951754,4.502247,1.236823,10.829558,0.031795,184.672865,181.027533,0.448164,0.183448,0.228549,0.107345,0.42181,0.015984,0.006697,0.408562,1.616523,0.696199,1.533589,0.660481,0.009091,0.124826,0.014249,0.0347,0.012636,0.25242,0.178049,0.039457,0.019207,0.044111,0.010005,0.035207,0.003747,0.172664,0.005205,0.035409,0.009017,0.054119,0.029834,0.027978,0.011956,0.319824,0.316637,0.040467,0.052146,0.034409,0.009902,0.102727,high
E05000489,465.786311,744.220135,132.563614,112.009001,9.690249,15.96677,3.865074,7.216575,11.097307,16.854108,4.997836,6.001755,20.50943,24.955673,1.552603,2.290689,0.125304,1.337844,87.212244,143.700933,34.785664,64.949178,44.389226,67.416431,19.991343,24.007019,82.037722,99.82269,2.88935,4.417365,0.877126,9.364906,0.017063,193.007784,186.804044,0.451859,0.180229,0.229987,0.103578,0.425049,0.01497,0.004545,0.41437,1.588456,0.684111,1.507428,0.649214,0.007403,0.113029,0.014657,0.04193,0.022716,0.247157,0.159861,0.039442,0.015232,0.043118,0.01401,0.03284,0.002571,0.190444,0.005978,0.043841,0.005772,0.061287,0.035393,0.032953,0.017732,0.302367,0.304989,0.040052,0.037405,0.037605,0.012807,0.11741,high
E05009376,424.649078,496.398382,116.902722,102.331457,8.812669,14.991053,3.439509,6.681419,9.586971,15.918225,5.241461,6.481309,17.812836,23.455796,1.501355,2.279817,0.265087,1.890912,79.314019,134.919481,30.955581,60.132774,38.347884,63.672901,20.965843,25.925237,71.251345,93.823185,2.835162,4.431651,1.855606,13.236386,0.017887,176.221977,176.327505,0.45008,0.175662,0.217611,0.118974,0.404327,0.016089,0.01053,0.414983,1.66518,0.717154,1.577024,0.679187,0.012204,0.109143,0.014636,0.036125,0.02623,0.26891,0.145362,0.05273,0.02114,0.044581,0.016233,0.034678,0.006189,0.150853,0.00644,0.04121,0.013336,0.060907,0.035528,0.033306,0.022044,0.342253,0.227682,0.057794,0.055927,0.045478,0.015217,0.103864,mid
E05000361,343.595151,437.948531,99.40285,96.635974,9.364765,13.964615,3.618987,6.232328,10.754435,16.544754,4.834939,5.936595,18.883351,23.086351,1.613764,2.325507,0.292847,2.00876,84.282889,125.681531,32.570885,56.090951,43.017739,66.179014,19.339756,23.746382,75.533406,92.345405,2.981732,4.586322,2.049926,14.061323,0.120025,184.187708,175.532175,0.457592,0.176835,0.233554,0.105,0.410089,0.016189,0.01113,0.53606,1.646193,0.708977,1.553414,0.669019,0.017701,0.09814,0.010625,0.022203,0.01547,0.249137,0.165055,0.038741,0.014859,0.074545,0.011426,0.039123,0.007897,0.182413,0.004444,0.034831,0.013391,0.065939,0.032403,0.023587,0.017041,0.346925,0.223627,0.046738,0.037699,0.064117,0.014564,0.127359,high
E05000444,360.42594,405.209919,101.047935,89.868297,8.881473,13.892208,3.469928,6.357103,10.472531,16.708016,5.223307,6.439388,18.272688,23.163648,1.587993,2.378208,0.305532,1.806602,79.933258,125.029869,31.229352,57.213923,41.890125,66.832064,20.893227,25.757552,73.090754,92.654592,2.978913,4.701607,2.138722,12.646212,0.035417,179.034873,173.244642,0.446468,0.174432,0.233977,0.116699,0.408249,0.016639,0.011946,0.496731,1.668315,0.718504,1.583353,0.681913,0.016543,0.102228,0.009265,0.026894,0.019592,0.263786,0.152479,0.048633,0.021309,0.059945,0.0145,0.035577,0.004142,0.164599,0.005526,0.030574,0.024408,0.06062,0.021413,0.030262,0.019367,0.349213,0.227109,0.057207,0.0517,0.060027,0.017302,0.10578,mid
E05000632,366.595637,386.634692,105.356474,87.543313,8.614749,14.274532,3.525436,6.715993,9.552764,15.593491,5.180789,6.506343,16.35364,22.026253,1.580653,2.479083,0.252206,1.650172,77.532738,128.470789,31.728924,60.443935,38.211054,62.373962,20.723155,26.025371,65.414561,88.105013,3.000948,4.877075,1.765445,11.551206,0.030127,168.436847,171.335137,0.460307,0.188373,0.226857,0.123032,0.388363,0.017816,0.010481,0.459462,1.699448,0.731912,1.58953,0.684573,0.014489,0.130916,0.016441,0.028259,0.024392,0.318497,0.124267,0.038104,0.018504,0.043436,0.011209,0.021131,0.00235,0.153732,0.006214,0.027569,0.020489,0.086561,0.039922,0.022743,0.023765,0.383677,0.192459,0.042575,0.045883,0.046674,0.012586,0.103155,low
