@relation 'tesco-21200475-weka.filters.unsupervised.attribute.Remove-R1-13,15-48,66-77'

@attribute carb numeric
@attribute f_beer numeric
@attribute f_dairy numeric
@attribute f_eggs numeric
@attribute f_fats_oils numeric
@attribute f_fish numeric
@attribute f_fruit_veg numeric
@attribute f_grains numeric
@attribute f_meat_red numeric
@attribute f_poultry numeric
@attribute f_readymade numeric
@attribute f_sauces numeric
@attribute f_soft_drinks numeric
@attribute f_spirits numeric
@attribute f_sweets numeric
@attribute f_tea_coffee numeric
@attribute f_water numeric
@attribute f_wine numeric

@data
18.191206,0.008595,0.102876,0.014369,0.036904,0.027189,0.265401,0.148969,0.061499,0.023283,0.045374,0.016715,0.035024,0.003835,0.154314,0.007515,0.038012,0.010127
17.437465,0.011484,0.116387,0.013232,0.032908,0.020759,0.309071,0.134054,0.048377,0.021194,0.05405,0.017444,0.022,0.003144,0.146294,0.005281,0.026058,0.018262
17.233031,0.016894,0.106067,0.012476,0.024744,0.020814,0.306338,0.147475,0.044516,0.020605,0.060607,0.01332,0.02742,0.003179,0.143643,0.005836,0.029615,0.016451
16.170807,0.020263,0.103389,0.013908,0.028992,0.023855,0.318388,0.12944,0.053891,0.023878,0.056363,0.016681,0.023298,0.003486,0.133028,0.004865,0.02449,0.021788
19.474232,0.009091,0.124826,0.014249,0.0347,0.012636,0.25242,0.178049,0.039457,0.019207,0.044111,0.010005,0.035207,0.003747,0.172664,0.005205,0.035409,0.009017
20.50943,0.007403,0.113029,0.014657,0.04193,0.022716,0.247157,0.159861,0.039442,0.015232,0.043118,0.01401,0.03284,0.002571,0.190444,0.005978,0.043841,0.005772
17.812836,0.012204,0.109143,0.014636,0.036125,0.02623,0.26891,0.145362,0.05273,0.02114,0.044581,0.016233,0.034678,0.006189,0.150853,0.00644,0.04121,0.013336
18.883351,0.017701,0.09814,0.010625,0.022203,0.01547,0.249137,0.165055,0.038741,0.014859,0.074545,0.011426,0.039123,0.007897,0.182413,0.004444,0.034831,0.013391
18.272688,0.016543,0.102228,0.009265,0.026894,0.019592,0.263786,0.152479,0.048633,0.021309,0.059945,0.0145,0.035577,0.004142,0.164599,0.005526,0.030574,0.024408
16.35364,0.014489,0.130916,0.016441,0.028259,0.024392,0.318497,0.124267,0.038104,0.018504,0.043436,0.011209,0.021131,0.00235,0.153732,0.006214,0.027569,0.020489
18.367211,0.009718,0.120318,0.011801,0.032019,0.016832,0.30813,0.148578,0.040114,0.018686,0.047997,0.017713,0.021165,0.002069,0.158513,0.004883,0.027491,0.013972
20.923943,0.011744,0.0949,0.010375,0.029435,0.02149,0.239994,0.185297,0.042333,0.018845,0.062482,0.012166,0.032137,0.00302,0.182934,0.006144,0.040119,0.006585
18.417376,0.015167,0.092582,0.008549,0.021508,0.016794,0.252072,0.154269,0.043702,0.01759,0.073358,0.009844,0.054446,0.005836,0.185913,0.006126,0.028791,0.013451
17.485833,0.010631,0.118201,0.006245,0.024514,0.015998,0.331055,0.143556,0.03256,0.013482,0.051047,0.009735,0.030379,0.002436,0.161144,0.005675,0.031484,0.011856
16.258266,0.015305,0.129259,0.012178,0.024997,0.022398,0.326253,0.131352,0.036552,0.0174,0.054295,0.01168,0.024636,0.00279,0.141542,0.005296,0.025861,0.018205
20.037744,0.016349,0.094346,0.007527,0.017565,0.01494,0.251278,0.172172,0.036636,0.019971,0.094411,0.012525,0.030827,0.002795,0.187322,0.005906,0.023349,0.01208
17.458121,0.014207,0.104796,0.013969,0.040435,0.026778,0.295878,0.13803,0.057869,0.020197,0.051917,0.017732,0.022512,0.002978,0.141863,0.005056,0.029155,0.016627
16.483877,0.011779,0.113924,0.014742,0.034327,0.028928,0.323263,0.131385,0.054945,0.021154,0.04853,0.015245,0.019867,0.002965,0.13094,0.005744,0.02521,0.017052
15.33056,0.012306,0.108124,0.015355,0.033389,0.030693,0.347282,0.11915,0.054727,0.021992,0.047047,0.015399,0.018019,0.002684,0.124915,0.005984,0.023527,0.019406
19.381951,0.010727,0.101748,0.012308,0.032802,0.018363,0.25495,0.149915,0.043116,0.018481,0.0587,0.012437,0.043738,0.004656,0.181254,0.005945,0.042942,0.007917
16.748151,0.013522,0.109515,0.014339,0.032423,0.028809,0.297921,0.135284,0.058901,0.023994,0.051163,0.0154,0.024545,0.003244,0.137349,0.005445,0.029523,0.018622
19.520557,0.012077,0.102318,0.009524,0.024913,0.018226,0.243249,0.174984,0.042867,0.017976,0.065417,0.012227,0.039114,0.005256,0.180718,0.006769,0.032965,0.011401
17.492386,0.016572,0.105445,0.015335,0.026663,0.02574,0.289635,0.144367,0.040598,0.018714,0.057597,0.011942,0.029545,0.003675,0.15724,0.006237,0.02976,0.020934
18.801572,0.016086,0.09783,0.008837,0.020292,0.018999,0.274195,0.162122,0.042059,0.017733,0.076534,0.012235,0.027738,0.002939,0.168906,0.005832,0.027311,0.020351
17.491387,0.015021,0.111526,0.013148,0.028598,0.02021,0.287799,0.143576,0.046517,0.021934,0.052156,0.013143,0.033136,0.003384,0.160332,0.005161,0.032441,0.011918
17.988039,0.012077,0.116916,0.015411,0.033162,0.020551,0.307262,0.144228,0.046608,0.019864,0.048721,0.014783,0.023123,0.003124,0.149398,0.005439,0.028859,0.010474
16.21139,0.012737,0.110214,0.014399,0.029598,0.026337,0.311932,0.134171,0.05132,0.019479,0.052935,0.015022,0.022901,0.002732,0.135895,0.005259,0.027014,0.028054
16.295168,0.009233,0.117982,0.013177,0.026288,0.025952,0.322139,0.127105,0.042915,0.019561,0.051363,0.012088,0.021555,0.003102,0.146891,0.006312,0.0292,0.025139
